Xavier,108.75915869524,96.98824206192,0.78872889403704,4–3,4,7,51.8,43.2,34.2,30,16.8,17.8,29.1,28.7,73.1,54,44.5,31.4,27.1,6.4,9.1,65.3,59.3,32.8,32.5,71.597522883402,76.59693877551021,79.97750000000002,1.6101119104716224,2024,0,0,40.21604,,67.1,71.4,1.055,0.934,23.979142857143
Liberty,111.13625445012,99.156426188302,0.78779254920322,5–0,5,5,62.1,47.8,24.9,27.9,14,16.1,27.6,22.4,65.9,63.2,50.5,40.6,28.3,2.7,7.7,56.5,39.5,47.1,33.3,66.069092845732,74.72323232323232,79,2.038,2024,0,0,8.442800000000002,,65.8,75.3,1.25,0.977,13.35824
Washington St.,110.03130235646,98.381317206424,0.78364078554173,5–1,5,6,56.3,43.8,36.1,37.4,14.7,18.6,35.3,25.1,68.1,57.4,44.1,36.1,28.8,16.1,6,46.9,40.9,34.2,35.9,66.35817848279,78.59769650434431,81.68699999999998,1.8910871302957637,2024,0,0,30.599800000000002,,63.6,76.4,1.185,0.935,9.9492333333334
Washington,111.12715768223,99.393168304193,0.78301181436899,4–2,4,6,52.1,43.1,36.1,38.1,16.3,16.7,31.4,32.9,73.3,57.1,43.8,28.6,27.8,13.1,7.7,55.3,49.7,35,32.6,72.324547315922,77.38352846184902,81.28,2.5822328931572636,2024,0,0,67.46715999999999,,73,68.7,1.105,0.967,19.407266666667
North Carolina St.,111.60958600893,99.998336036067,0.77959607651109,4–2,4,6,49,49.5,27.8,39.8,13.3,21.1,30.2,28.4,71.2,50.4,49,30.9,33.6,7.8,8.2,48.5,46.2,34.7,38.6,71.517790015892,76.95977837061359,80.40249999999999,2.3248700519792074,2024,0,0,52.41327999999999,,74.3,69.7,1.088,0.985,18.261533333333
Virginia Tech,111.40952674199,99.896310286569,0.77806422768564,5–3,5,8,50.1,50.2,41.8,33,16.9,20.3,28.9,27.9,68.8,49.3,49.8,34.3,33.9,6.9,10.7,62.7,48.2,39.3,37.8,68.935432576119,77.45795918367347,80.7595,2.1527694461107774,2024,0,0,54.04596000000001,,80.1,69.4,1.081,0.997,25.7353375
James Madison,112.95496522724,101.59214724866,0.77193400853996,7–0,7,7,55.4,49,37.4,41.2,14,20.9,30.8,32.1,73.6,53.2,49.8,39.4,31.5,9.5,6.5,50.7,41.5,36.7,34.5,73.408436132119,77.26441917140536,79.92699999999999,2.462215113954419,2024,0,0,5.803360000000001,,69.4,70.8,1.163,1.009,19.529642857143
Missouri,112.24056149107,100.95022095247,0.77192174881038,6–2,6,8,54.4,46.9,25.7,36.1,17.1,20.6,27.4,31,68,55.1,47.1,35.7,31,19.1,9.4,52.8,52.5,45.6,37.7,67.144008612331,76.517987065481,80.21349999999998,2.2819180819180813,2024,0,0,41.3404,,74.2,71.4,1.097,0.979,13.5726125
Mississippi,108.70310206818,98.19681571184,0.76295250293169,6–0,6,6,49.4,45.1,31.8,25.6,14.3,18.5,31.1,32.6,66.5,48.8,44.5,33.9,30.6,17.1,4.2,60.3,57.2,32.4,40.6,65.753339033394,77.4638,81.59900000000002,2.1874,2024,0,0,53.972440000000006,,72.6,73.6,1.085,0.97,8.6882666666667
Seton Hall,108.53371739695,98.084818131146,0.76208149856212,5–2,5,7,52,47.3,30.5,32.2,17.3,20.2,36.4,25.7,69.4,54.2,49.8,31.3,29.5,9.5,7.8,48.3,53.4,30.8,43.9,68.135154534874,77.64982824813093,80.25049999999999,2.292199999999999,2024,0,0,62.12056,,79.2,74,1.123,0.961,13.636585714286
Butler,109.71928130039,99.829752064741,0.74767998753555,5–2,5,7,54.2,43.5,33.1,24.1,14.7,18.1,25.7,30.5,71.1,56.6,45.6,33.5,26.7,9.9,7.4,48,43.5,39,38.7,70.089108834261,77.46493717065263,81.4355,2.1921231507397043,2024,0,0,37.28988000000001,,78.4,66.4,1.133,0.918,22.802485714286
Stanford,111.71507672293,101.74671878478,0.74551789245575,3–4,3,7,53.6,50,23.9,24.6,16.1,16.1,23.4,29.8,72.1,54.3,47,35,37,7.6,6.4,59.1,41.1,40.3,34.9,69.590957867916,78.04682475884245,81.99900000000001,2.2332,2024,0,0,35.20868,,70.1,70.2,1.062,1.043,13.842271428571
Dayton,110.45446943732,100.77915552522,0.74158563582944,5–2,5,7,54.7,49.9,39.9,22.7,19.1,17.5,28.4,33.3,62.9,53.7,46.3,37.3,38.2,10,9.5,64,48,45.4,32.7,63.612018664111,76.89995974235104,80.7415,2.194161167766446,2024,0,0,33.12912,,74.1,73.6,1.098,1.06,29.470571428571
UC Irvine,105.83433458172,96.586161062331,0.74107328917109,5–2,5,7,52.3,45.3,37.5,37.3,19.4,17.8,30.5,27.5,70.6,50.5,43.6,37.6,33,7.3,8.1,57.8,50.9,29.3,28.6,69.977938147243,77.15660717866454,80.66699999999999,2.1729654069186166,2024,0,0,6.095080000000003,,70,71.3,1.058,0.953,23.454771428571
Boise St.,106.45620188786,97.245274958652,0.73898860634718,2–3,2,5,45.8,52.2,32.9,28.9,16.2,17.9,22.8,23.7,68,46.1,53.4,30.1,33,6.3,13.9,39.5,48.5,36.4,31.8,67.863894412883,78.43045685279188,80.2775,2.057,2024,0,0,18.822200000000006,,73.1,83.8,0.962,1.047,28.29544
Utah St.,107.46703448915,98.238202655277,0.73741446440095,5–1,5,6,55.3,46.6,31.1,30.1,17.8,17.5,28.9,22.4,69.9,61.1,50.5,28.2,26.9,15.1,5.3,59.9,40.4,30.8,38.1,68.913876279967,77.38209515859766,80.70550000000001,1.9936000000000003,2024,0,0,25.70848,,64.9,70.8,1.091,0.942,15.72765
Yale,108.76993895393,99.516525697432,0.73545534199505,4–3,4,7,50.1,50.5,26.9,27.8,13.9,16.2,25.5,27.8,66.6,48.1,48.9,36.2,35.7,8.4,5.3,46.5,50.8,33.3,34.3,67.294809416649,78.21847030105778,80.76050000000001,1.8813762752550507,2024,0,0,7.890720000000003,,73.7,75,1.055,1.053,22.082628571429
Oklahoma St.,106.20602089745,97.225981572092,0.7341814926827,3–3,3,6,53.9,46.1,31.8,32.8,16.4,18.5,30.4,25.8,68.8,56.6,45.7,33.7,31.3,9.1,7.7,61.7,41.8,45.9,33.3,68.035708948009,77.65938251804329,80.815,1.4795999999999996,2024,0,0,46.07860000000001,,60.9,71.7,1.094,0.949,7.4618833333333
Florida St.,108.78886439234,99.874911286527,0.7277308830676,4–2,4,6,52.7,47.6,34.5,47,17.9,22.6,29.4,33.8,73.8,52.9,52.2,34.8,25.6,11.2,4.5,54,45,35.3,33.5,70.896168460754,79.40718074255406,81.46300000000001,1.8325330132052824,2024,0,0,66.86308,,68.2,64,1.067,0.968,22.1033
Arizona St.,104.35716203829,95.892215468766,0.72568447118828,4–2,4,6,46.3,44.7,36.9,22.9,14.9,21.1,23.4,33.2,70.3,48.7,45.5,27.9,29,10.5,4.4,51.7,54.5,34.9,41.3,69.396899020142,78.19874519328071,80.89350000000002,2.028605721144229,2024,0,0,53.59796,,58.1,72.1,0.946,0.942,20.48855
