school_name,g,wins,losses,win_loss_pct,srs,sos,wins_home,losses_home,wins_visitor,losses_visitor,pts,opp_pts,pace,off_rtg,fta_per_fga_pct,fg3a_per_fga_pct,ts_pct,trb_pct,ast_pct,stl_pct,blk_pct,efg_pct,tov_pct,orb_pct,ft_rate
Harvard,9,6,3,.667,2.71,1.84,3,0,3,3,674,639,69.2,106.8,.312,.376,.552,48.0,54.8,7.9,13.1,.523,14.2,26.5,.220
Hawaii,6,5,1,.833,6.02,-2.98,3,0,0,0,463,402,71.2,108.4,.378,.407,.579,52.4,48.4,8.2,6.6,.549,16.5,27.0,.268
High Point,9,6,3,.667,-0.96,-5.67,3,0,1,2,808,672,71.2,124.3,.459,.441,.604,59.6,46.0,7.4,10.0,.566,13.0,39.0,.341
Hofstra,7,5,2,.714,8.98,0.82,2,1,0,1,594,492,70.9,117.6,.213,.469,.612,50.7,58.3,8.3,10.5,.588,14.1,26.1,.170
Holy Cross,9,2,7,.222,-21.29,-8.07,0,2,1,4,579,698,65.5,98.1,.217,.381,.510,47.3,45.0,5.9,6.6,.494,16.0,27.8,.136
Houston,8,8,0,1.000,27.18,2.55,4,0,1,0,600,403,64.7,116.1,.368,.378,.524,55.8,51.7,16.4,16.8,.498,10.6,39.1,.236
Houston Christian,6,0,6,.000,-18.17,3.66,0,2,0,4,409,540,78.0,87.4,.340,.233,.471,46.4,39.9,7.9,6.6,.447,19.2,26.4,.201
Howard,8,3,5,.375,-1.81,1.94,2,1,1,4,619,649,71.6,103.3,.406,.363,.554,51.8,44.9,8.0,6.7,.506,18.8,30.8,.310
Idaho,8,4,4,.500,-8.62,-0.45,3,2,0,2,594,553,67.9,107.8,.285,.421,.548,51.2,51.1,10.3,12.5,.526,14.7,29.7,.193
Idaho State,8,4,4,.500,-5.63,-0.96,3,0,1,3,553,491,65.6,105.3,.283,.342,.556,53.2,50.2,11.6,9.9,.532,17.0,30.0,.199
Illinois,7,6,1,.857,18.24,-0.76,5,1,1,0,543,410,71.4,108.6,.258,.392,.539,58.7,43.5,5.8,10.3,.530,15.4,36.4,.149
Illinois State,7,4,3,.571,-2.50,-0.16,2,0,1,1,466,461,69.0,96.5,.409,.399,.505,50.3,44.9,9.9,6.5,.466,17.4,28.7,.275
Illinois-Chicago,8,5,3,.625,11.08,4.94,2,1,1,1,595,501,70.1,106.1,.257,.428,.564,52.4,53.2,8.7,16.1,.550,17.3,28.9,.166
Incarnate Word,8,3,5,.375,-14.55,-7.12,2,0,1,4,625,636,75.5,103.5,.333,.400,.547,50.2,47.7,9.6,11.3,.510,18.4,31.1,.247
Indiana,7,6,1,.857,4.90,-0.24,5,0,0,0,515,479,69.1,106.4,.493,.240,.568,50.6,58.7,9.1,14.3,.531,16.3,27.0,.341
Indiana State,8,7,1,.875,15.47,4.19,3,0,1,1,697,588,73.3,118.9,.386,.465,.646,48.1,57.9,10.1,4.9,.627,15.0,20.9,.274
Iona,8,3,5,.375,-3.48,-3.73,1,1,1,2,600,598,70.9,105.8,.334,.380,.541,47.8,49.1,13.2,7.4,.518,15.3,29.5,.217
Iowa,7,5,2,.714,16.14,1.14,4,0,0,1,635,530,75.6,120.0,.390,.296,.587,50.8,58.2,10.0,10.7,.546,10.4,29.8,.300
